EmployeeID,Gender,Age,Education,EducationType,MaritalStatus,TotalCompanies,TotalExperience,DistanceToOffice,Department,Traveltype_last_year,BillingRate,MonthlyIncome,Years_at_Company,Years_InCurrentRole,LastSalaryHike,PotentialReview,PerformanceReview,SatisfactionScore,JobRole_SatisfactionScore,Overall_SatisfactionScore
AB0020,Female,32,Graduation,Economics,Single,3,14,2,ClientSolutions,No,72,4025,1,0,22,Medium,Exceed Expectations,Detractor,Detractor,Passive
AB0021,Female,38,Graduation,Economics,Married,7,18,7,BusinessDevelopment,Conference,152,8036,10,9,21,High,Exceed Expectations,Passive,Promoter,Passive
AB0022,Female,28,Under Graduation,Marketing / Finance,Single,1,7,2,ClientSolutions,Conference,87,2598,5,3,20,Medium,Exceed Expectations,Promoter,Promoter,Promoter
AB0023,Male,25,Graduation,Marketing / Finance,Single,1,5,8,ClientSolutions,No,40,2575,4,3,22,Medium,Exceed Expectations,Passive,Detractor,Detractor
AB0024,Male,30,Graduation,Phycology / Behavior Sciences,Divorced,3,25,8,Support,Conference,147,4489,13,0,16,High,Met Expectations,Passive,Passive,Passive
AB0025,Female,20,Under Graduation,Marketing / Finance,Married,1,13,4,ClientSolutions,Conference,152,3461,13,10,16,Very High,Met Expectations,Passive,Promoter,Detractor
AB0026,Male,33,Masters / PHD,Bio-technology,Single,1,8,7,Support,Conference,79,4765,7,5,18,High,Met Expectations,Passive,Passive,Passive
AB0027,Female,34,Under Graduation,Economics,Married,3,39,4,ClientSolutions,Conference,51,15312,20,14,20,Medium,Met Expectations,Passive,Passive,Passive
AB0028,Male,34,Masters / PHD,Marketing / Finance,Married,5,21,3,BusinessDevelopment,ClientEngagement,81,10645,17,12,14,Medium,Met Expectations,Detractor,Promoter,Detractor
AB0029,Male,42,Graduation,Bio-technology,Divorced,4,23,6,ClientSolutions,Conference,114,6137,13,12,15,High,Met Expectations,Promoter,Detractor,Passive
AB0030,Male,18,Under Graduation,Phycology / Behavior Sciences,Married,8,9,2,ClientSolutions,Conference,106,4387,3,3,20,High,Met Expectations,Promoter,Passive,Passive
AB0031,Male,35,Graduation,Economics,Married,4,9,15,BusinessDevelopment,ClientEngagement,94,7479,3,3,19,Medium,Met Expectations,Promoter,Promoter,Passive
AB0032,Female,25,Graduation,Economics,Married,4,9,1,ClientSolutions,Conference,112,4229,3,3,21,Low,Exceed Expectations,Promoter,Passive,Passive
AB0033,Female,38,Graduation,Economics,Single,1,12,4,BusinessDevelopment,Conference,113,4590,12,0,18,High,Met Expectations,Promoter,Promoter,Passive
AB0034,Male,45,Graduation,Marketing / Finance,Married,10,44,2,ClientSolutions,Conference,58,20859,1,0,15,Medium,Met Expectations,Passive,Detractor,Passive
AB0035,Male,19,Graduation,Economics,Single,1,5,1,ClientSolutions,Conference,92,5087,5,4,15,Medium,Met Expectations,Passive,Passive,Passive
AB0036,Female,34,Graduation,Economics,Married,12,10,1,ClientSolutions,Conference,111,6667,5,4,16,Medium,Met Expectations,Promoter,Promoter,Promoter
AB0037,Male,32,Graduation,Economics,Married,1,12,1,ClientSolutions,No,96,7115,12,10,17,High,Met Expectations,Promoter,Promoter,Promoter
AB0038,Male,31,Masters / PHD,Phycology / Behavior Sciences,Single,4,8,1,ClientSolutions,Conference,180,3098,4,3,14,Medium,Met Expectations,Promoter,Detractor,Passive
AB0039,Female,41,Masters / PHD,Marketing / Finance,Single,5,9,1,BusinessDevelopment,No,121,7313,1,0,17,High,Met Expectations,Promoter,Promoter,Passive
AB0040,Male,15,Under Graduation,Marketing / Finance,Single,1,3,5,BusinessDevelopment,Conference,54,2640,3,3,14,High,Met Expectations,Passive,Detractor,Promoter
AB0041,Female,17,Graduation,Economics,Single,1,1,13,BusinessDevelopment,Conference,19,3007,1,0,17,Very High,Met Expectations,Passive,Passive,Promoter
AB0042,Female,23,Graduation,Marketing / Finance,Divorced,1,8,31,ClientSolutions,Conference,70,5371,7,4,21,Low,Exceed Expectations,Passive,Detractor,Passive
AB0043,Female,39,Graduation,Bio-technology,Single,9,33,1,ClientSolutions,Conference,130,15309,9,1,15,Medium,Met Expectations,Passive,Passive,Promoter
AB0044,Female,39,Graduation,Marketing / Finance,Divorced,12,36,3,BusinessDevelopment,ClientEngagement,26,15097,29,3,15,High,Met Expectations,Promoter,Passive,Promoter
AB0045,Male,35,Masters / PHD,Economics,Married,7,22,1,BusinessDevelopment,Conference,94,11640,18,1,14,Medium,Met Expectations,Detractor,Passive,Passive
AB0046,Male,33,Masters / PHD,Economics,Married,4,20,18,BusinessDevelopment,Conference,204,9843,9,9,17,High,Met Expectations,Passive,Detractor,Promoter
AB0047,Female,29,Graduation,Economics,Divorced,7,9,3,ClientSolutions,Conference,109,3138,1,0,22,High,Exceed Expectations,Detractor,Promoter,Detractor
AB0048,Male,33,Graduation,Economics,Single,9,21,9,BusinessDevelopment,No,32,6851,18,4,16,High,Met Expectations,Promoter,Promoter,Promoter
AB0049,Male,57,Masters / PHD,Bio-technology,Single,10,13,15,BusinessDevelopment,Conference,177,5948,3,3,16,High,Met Expectations,Detractor,Detractor,Promoter
AB0050,Male,32,Masters / PHD,Bio-technology,Married,1,7,16,ClientSolutions,No,145,2560,7,3,22,Low,Exceed Expectations,Promoter,Detractor,Promoter
AB0051,Male,36,Masters / PHD,Economics,Single,10,25,3,BusinessDevelopment,Conference,155,7541,1,0,15,High,Met Expectations,Passive,Promoter,Passive
AB0052,Female,21,Graduation,Economics,Married,1,1,1,ClientSolutions,Conference,57,3245,1,0,16,Medium,Met Expectations,Passive,Passive,Passive
AB0053,Male,28,Graduation,Phycology / Behavior Sciences,Divorced,1,1,4,ClientSolutions,Conference,55,2171,1,0,15,High,Met Expectations,Passive,Promoter,Passive
AB0054,Female,26,Graduation,Economics,Single,4,13,3,ClientSolutions,Conference,121,12242,9,9,17,High,Met Expectations,Passive,Promoter,Promoter
AB0055,Female,49,Masters / PHD,Marketing / Finance,Married,4,40,18,ClientSolutions,LongTermProject,134,15158,12,10,22,Medium,Exceed Expectations,Passive,Promoter,Passive
AB0056,Male,25,Graduation,Economics,Divorced,1,8,1,Support,Conference,40,2294,7,4,21,High,Exceed Expectations,Passive,Passive,Detractor
AB0057,Female,30,Graduation,Marketing / Finance,Married,4,13,1,ClientSolutions,Conference,47,8520,7,5,20,Medium,Met Expectations,Promoter,Passive,Promoter
AB0058,Female,25,Graduation,Economics,Married,1,13,5,ClientSolutions,LongTermProject,95,9818,13,12,23,Medium,Exceed Expectations,Passive,Passive,Detractor
AB0059,Female,41,Graduation,Economics,Married,5,33,20,ClientSolutions,Conference,160,18499,4,3,14,High,Met Expectations,Promoter,Detractor,Passive
AB0060,Female,49,Masters / PHD,Phycology / Behavior Sciences,Married,12,16,6,ClientSolutions,Conference,39,3263,7,5,16,Very High,Met Expectations,Passive,Detractor,Passive
AB0061,Male,36,Graduation,Economics,Married,5,13,3,ClientSolutions,Conference,113,2620,4,3,15,High,Met Expectations,Promoter,Detractor,Passive
AB0062,Male,29,Graduation,Bio-technology,Married,1,16,16,BusinessDevelopment,Conference,149,8808,14,12,17,High,Met Expectations,Passive,Passive,Passive
AB0063,Female,39,Masters / PHD,Phycology / Behavior Sciences,Single,3,13,2,ClientSolutions,No,76,7486,10,9,18,Medium,Met Expectations,Detractor,Passive,Detractor
AB0064,Male,46,Graduation,Economics,Single,5,48,7,ClientSolutions,Conference,170,7977,8,5,14,Low,Met Expectations,Promoter,Promoter,Detractor
AB0065,Female,37,Graduation,Marketing / Finance,Single,4,29,27,ClientSolutions,LongTermProject,44,19790,0,0,22,High,Exceed Expectations,Passive,Passive,Passive
AB0066,Female,25,Graduation,Marketing / Finance,Single,12,12,11,ClientSolutions,Conference,132,10610,9,9,16,High,Met Expectations,Detractor,Passive,Passive
AB0067,Female,33,Graduation,Bio-technology,Married,1,13,8,ClientSolutions,LongTermProject,84,6952,13,12,14,High,Met Expectations,Promoter,Passive,Detractor
AB0068,Male,33,Masters / PHD,Marketing / Finance,Married,1,8,19,BusinessDevelopment,Conference,102,6119,7,4,18,High,Met Expectations,Passive,Detractor,Promoter
AB0069,Female,36,Under Graduation,Bio-technology,Married,1,43,1,BusinessDevelopment,Conference,29,21741,42,18,17,High,Met Expectations,Detractor,Promoter,Promoter
AB0070,Male,30,Graduation,Bio-technology,Married,1,7,9,BusinessDevelopment,Conference,70,4619,7,3,16,Medium,Met Expectations,Passive,Passive,Detractor
AB0071,Male,29,Masters / PHD,Marketing / Finance,Divorced,12,12,3,ClientSolutions,LongTermProject,199,14993,3,3,15,Very High,Met Expectations,Passive,Passive,Detractor
AB0072,Female,16,Graduation,Economics,Single,1,1,6,ClientSolutions,LongTermProject,106,3237,1,0,19,Medium,Met Expectations,Promoter,Detractor,Passive
AB0073,Female,25,Graduation,Bio-technology,Single,7,10,3,ClientSolutions,Conference,122,2943,7,3,14,High,Met Expectations,Promoter,Detractor,Passive
AB0074,Male,23,Graduation,Marketing / Finance,Married,1,7,4,BusinessDevelopment,No,15,4654,7,5,17,High,Met Expectations,Passive,Passive,Passive
AB0075,Female,33,Graduation,Marketing / Finance,Married,8,26,1,ClientSolutions,Conference,67,3808,1,0,22,Medium,Exceed Expectations,Passive,Passive,Passive
AB0076,Male,24,Graduation,Economics,Divorced,1,8,7,ClientSolutions,Conference,161,7281,8,0,14,High,Met Expectations,Passive,Promoter,Passive
AB0077,Female,19,Graduation,Phycology / Behavior Sciences,Married,1,5,2,BusinessDevelopment,Conference,161,5504,4,3,21,High,Exceed Expectations,Detractor,Passive,Detractor
AB0078,Male,37,Graduation,Bio-technology,Married,5,13,30,ClientSolutions,Conference,176,10296,4,1,19,High,Met Expectations,Passive,Promoter,Promoter
AB0079,Female,34,Graduation,Bio-technology,Married,1,30,9,ClientSolutions,Conference,165,21413,29,20,15,High,Met Expectations,Passive,Passive,Promoter
AB0080,Male,15,Graduation,Bio-technology,Single,1,0,5,BusinessDevelopment,ClientEngagement,158,2091,0,0,16,High,Met Expectations,Passive,Passive,Promoter
AB0081,Male,46,Graduation,Economics,Married,1,17,1,ClientSolutions,Conference,48,5396,16,12,23,Very High,Exceed Expectations,Detractor,Passive,Detractor
AB0082,Male,46,Graduation,Marketing / Finance,Married,9,39,9,ClientSolutions,Conference,101,12180,13,9,14,High,Met Expectations,Passive,Promoter,Passive
AB0083,Female,35,Graduation,Economics,Single,5,9,8,ClientSolutions,No,42,2703,4,3,16,High,Met Expectations,Detractor,Passive,Passive
AB0084,Female,30,Masters / PHD,Economics,Married,1,8,7,ClientSolutions,Conference,97,6951,8,5,15,High,Met Expectations,Detractor,Promoter,Promoter
AB0085,Male,34,Graduation,Economics,Divorced,5,17,13,ClientSolutions,Conference,56,2718,12,10,15,High,Met Expectations,Detractor,Passive,Detractor
AB0086,Male,30,Masters / PHD,Economics,Single,10,10,5,ClientSolutions,Conference,206,10623,1,0,23,Medium,Exceed Expectations,Promoter,Promoter,Passive
AB0087,Male,26,Masters / PHD,Marketing / Finance,Single,1,7,3,ClientSolutions,Conference,167,2274,5,3,16,Medium,Met Expectations,Detractor,Promoter,Promoter
AB0088,Female,35,Graduation,Economics,Married,5,16,1,ClientSolutions,LongTermProject,51,6120,7,3,16,High,Met Expectations,Promoter,Promoter,Passive
AB0089,Male,34,Masters / PHD,Marketing / Finance,Single,5,21,2,ClientSolutions,Conference,141,2792,14,10,21,High,Exceed Expectations,Passive,Passive,Passive
AB0090,Female,27,Graduation,Marketing / Finance,Single,4,13,9,ClientSolutions,Conference,115,6755,7,1,14,High,Met Expectations,Passive,Passive,Promoter
AB0091,Female,31,Masters / PHD,Marketing / Finance,Married,8,9,3,ClientSolutions,Conference,22,2905,4,3,21,Medium,Exceed Expectations,Passive,Passive,Promoter
AB0092,Female,32,Graduation,Economics,Married,10,17,1,Support,Conference,168,5729,7,5,14,Medium,Met Expectations,Promoter,Promoter,Passive
AB0093,Female,34,Graduation,Phycology / Behavior Sciences,Married,1,27,7,Support,Conference,139,18410,26,9,16,High,Met Expectations,Passive,Detractor,Passive
AB0094,Female,39,Graduation,Marketing / Finance,Married,5,13,2,ClientSolutions,Conference,32,5275,4,3,24,Medium,Exceed Expectations,Passive,Detractor,Detractor
AB0095,Male,43,Graduation,Economics,Single,3,25,6,ClientSolutions,Conference,42,2717,3,3,18,High,Exceed Expectations,Promoter,Promoter,Promoter
AB0096,Male,62,Masters / PHD,Bio-technology,Married,1,47,27,BusinessDevelopment,Conference,98,21458,47,8,21,Medium,Exceed Expectations,Passive,Promoter,Passive
AB0097,Male,33,Graduation,Bio-technology,Married,1,10,27,BusinessDevelopment,Conference,36,9220,9,9,16,High,Met Expectations,Passive,Detractor,Passive
AB0098,Male,35,Graduation,Marketing / Finance,Married,12,31,1,Support,Conference,163,11501,26,8,16,Medium,Met Expectations,Passive,Detractor,Promoter
AB0099,Male,34,Graduation,Marketing / Finance,Divorced,3,27,9,ClientSolutions,LongTermProject,102,21276,23,21,18,High,Met Expectations,Detractor,Passive,Passive
AB0100,Female,31,Masters / PHD,Economics,Married,1,10,2,ClientSolutions,LongTermProject,209,5648,10,9,14,High,Met Expectations,Promoter,Passive,Promoter
AB0101,Male,32,Graduation,Marketing / Finance,Divorced,1,29,2,ClientSolutions,Conference,168,21294,27,9,20,High,Met Expectations,Detractor,Detractor,Promoter
AB0102,Female,38,Graduation,Marketing / Finance,Divorced,3,25,20,ClientSolutions,Conference,180,5298,13,9,16,High,Met Expectations,Passive,Passive,Passive
AB0103,Male,34,Masters / PHD,Economics,Married,1,13,7,BusinessDevelopment,No,215,8335,13,9,17,Low,Met Expectations,Promoter,Detractor,Passive
AB0104,Female,22,Graduation,Economics,Single,1,1,4,ClientSolutions,Conference,75,2572,1,1,20,High,Met Expectations,Passive,Passive,Passive
AB0105,Female,27,Graduation,Bio-technology,Single,1,1,5,BusinessDevelopment,Conference,42,3155,1,0,16,High,Met Expectations,Promoter,Passive,Passive
AB0106,Female,45,Masters / PHD,Marketing / Finance,Married,4,34,1,ClientSolutions,Conference,54,18815,26,22,20,High,Met Expectations,Detractor,Passive,Passive
AB0107,Male,30,Masters / PHD,Bio-technology,Married,5,12,1,ClientSolutions,No,180,4507,8,7,16,High,Met Expectations,Promoter,Detractor,Passive
AB0108,Male,27,Masters / PHD,Bio-technology,Single,1,3,5,ClientSolutions,Conference,215,3800,3,3,16,High,Met Expectations,Passive,Passive,Passive
AB0109,Male,23,Graduation,Economics,Married,1,7,1,ClientSolutions,Conference,143,2273,7,4,14,High,Met Expectations,Passive,Promoter,Passive
AB0110,Male,26,Graduation,Bio-technology,Married,1,10,23,BusinessDevelopment,No,89,6759,9,9,16,High,Met Expectations,Passive,Passive,Detractor
AB0111,Male,34,Graduation,Economics,Married,8,29,14,ClientSolutions,Conference,70,18804,5,1,23,High,Exceed Expectations,Passive,Detractor,Passive
AB0112,Male,29,Graduation,Economics,Married,1,13,29,ClientSolutions,Conference,91,3763,13,12,18,Very High,Met Expectations,Passive,Passive,Promoter
AB0113,Female,29,Masters / PHD,Bio-technology,Single,1,13,2,ClientSolutions,LongTermProject,197,5471,12,9,18,Medium,Met Expectations,Promoter,Detractor,Promoter
AB0114,Male,37,Graduation,Economics,Divorced,4,16,2,ClientSolutions,Conference,84,9419,12,10,16,High,Met Expectations,Promoter,Promoter,Passive
AB0115,Male,18,Graduation,Economics,Single,1,5,1,ClientSolutions,Conference,69,3728,4,3,15,High,Met Expectations,Promoter,Passive,Promoter
AB0116,Male,53,Masters / PHD,Economics,Married,8,47,7,Support,Conference,31,21601,9,4,16,High,Exceed Expectations,Promoter,Passive,Detractor
AB0117,Male,18,Under Graduation,Marketing / Finance,Married,4,9,20,ClientSolutions,Conference,96,4050,4,3,14,High,Met Expectations,Promoter,Promoter,Passive
AB0118,Male,29,Masters / PHD,Economics,Married,1,1,12,BusinessDevelopment,ClientEngagement,67,2260,1,0,19,Medium,Met Expectations,Passive,Detractor,Passive
AB0119,Female,23,Graduation,Marketing / Finance,Married,1,8,2,BusinessDevelopment,Conference,140,6119,8,0,16,High,Met Expectations,Passive,Passive,Detractor
AB0120,Female,44,Masters / PHD,Marketing / Finance,Married,3,9,5,ClientSolutions,No,172,5788,1,0,16,High,Met Expectations,Passive,Passive,Passive
AB0121,Female,36,Graduation,Marketing / Finance,Married,4,30,20,BusinessDevelopment,Conference,176,14605,16,14,19,Very High,Met Expectations,Promoter,Promoter,Passive
AB0122,Male,33,Graduation,Marketing / Finance,Single,8,10,7,ClientSolutions,Conference,65,5509,3,3,16,High,Met Expectations,Promoter,Passive,Passive
AB0123,Female,30,Graduation,Marketing / Finance,Married,5,12,1,ClientSolutions,LongTermProject,71,2736,8,1,16,Medium,Exceed Expectations,Passive,Detractor,Passive
AB0124,Female,26,Under Graduation,Economics,Divorced,1,8,11,ClientSolutions,Conference,62,3080,7,4,16,High,Met Expectations,Promoter,Detractor,Passive
AB0125,Female,29,Masters / PHD,Bio-technology,Married,1,17,21,BusinessDevelopment,Conference,29,6017,16,9,16,Medium,Met Expectations,Detractor,Promoter,Detractor
AB0126,Male,27,Masters / PHD,Marketing / Finance,Married,7,7,2,ClientSolutions,Conference,174,3826,4,3,16,Low,Met Expectations,Detractor,Promoter,Passive
AB0127,Male,33,Masters / PHD,Economics,Single,12,13,8,ClientSolutions,Conference,113,7849,1,1,20,Medium,Met Expectations,Passive,Passive,Passive
AB0128,Female,43,Graduation,Bio-technology,Married,3,39,1,BusinessDevelopment,ClientEngagement,15,8267,20,9,15,Medium,Met Expectations,Passive,Passive,Detractor
AB0129,Male,40,Masters / PHD,Phycology / Behavior Sciences,Single,4,18,2,ClientSolutions,Conference,200,7453,1,0,22,Medium,Exceed Expectations,Detractor,Promoter,Passive
AB0130,Male,19,Under Graduation,Economics,Single,4,10,2,BusinessDevelopment,ClientEngagement,86,5583,8,3,20,Low,Exceed Expectations,Promoter,Promoter,Passive
AB0131,Male,25,Graduation,Economics,Married,1,13,1,BusinessDevelopment,Conference,90,10661,13,10,14,Medium,Exceed Expectations,Detractor,Detractor,Promoter
AB0132,Male,34,Under Graduation,Bio-technology,Married,4,16,2,BusinessDevelopment,Conference,89,8918,3,3,15,Very High,Met Expectations,Passive,Passive,Promoter
AB0133,Male,27,Under Graduation,Marketing / Finance,Married,1,4,10,ClientSolutions,LongTermProject,151,2972,3,1,18,High,Met Expectations,Promoter,Passive,Passive
AB0134,Male,40,Masters / PHD,Bio-technology,Married,4,13,10,ClientSolutions,No,53,3248,8,4,22,High,Exceed Expectations,Passive,Passive,Passive
AB0135,Female,45,Graduation,Marketing / Finance,Divorced,3,27,9,ClientSolutions,Conference,101,16176,7,0,16,High,Inconsistent,Promoter,Passive,Passive
AB0136,Male,30,Graduation,Bio-technology,Married,1,16,3,ClientSolutions,LongTermProject,57,4075,14,13,15,High,Met Expectations,Detractor,Passive,Passive
AB0137,Male,21,Graduation,Economics,Married,3,8,29,BusinessDevelopment,Conference,116,9485,3,3,19,Medium,Met Expectations,Detractor,Passive,Promoter
AB0138,Male,35,Masters / PHD,Marketing / Finance,Married,5,9,6,BusinessDevelopment,Conference,34,7148,7,5,16,High,Met Expectations,Passive,Promoter,Passive
AB0139,Male,37,Masters / PHD,Bio-technology,Single,1,27,14,BusinessDevelopment,Conference,18,14628,26,10,15,High,Met Expectations,Passive,Detractor,Detractor
AB0140,Female,40,Masters / PHD,Economics,Married,1,13,1,ClientSolutions,Conference,93,4509,13,3,16,High,Met Expectations,Passive,Promoter,Passive
AB0141,Female,21,Graduation,Economics,Divorced,1,4,26,ClientSolutions,Conference,164,3193,4,3,22,High,Exceed Expectations,Detractor,Promoter,Passive
AB0142,Male,29,Masters / PHD,Economics,Married,4,17,7,BusinessDevelopment,Conference,23,2584,9,9,17,Medium,Met Expectations,Passive,Passive,Passive
AB0143,Female,44,Graduation,Bio-technology,Married,3,21,2,BusinessDevelopment,Conference,139,6534,8,3,16,High,Met Expectations,Promoter,Detractor,Promoter
AB0144,Female,48,Masters / PHD,Bio-technology,Married,3,38,19,BusinessDevelopment,Conference,198,17872,26,8,16,High,Met Expectations,Detractor,Passive,Passive
AB0145,Male,33,Masters / PHD,Bio-technology,Single,1,22,5,ClientSolutions,Conference,194,8891,21,8,16,High,Met Expectations,Passive,Passive,Promoter
AB0146,Male,29,Graduation,Phycology / Behavior Sciences,Divorced,1,4,10,ClientSolutions,Conference,97,4321,4,3,20,High,Exceed Expectations,Passive,Promoter,Detractor
AB0147,Male,25,Graduation,Economics,Married,1,14,2,ClientSolutions,Conference,35,4578,14,13,20,Medium,Met Expectations,Passive,Promoter,Detractor
AB0148,Female,30,Graduation,Marketing / Finance,Married,7,20,8,ClientSolutions,Conference,135,5262,1,0,17,Low,Met Expectations,Detractor,Passive,Detractor
AB0149,Female,37,Masters / PHD,Marketing / Finance,Divorced,9,9,1,ClientSolutions,Conference,215,2478,4,3,16,High,Met Expectations,Passive,Passive,Passive
AB0150,Female,21,Graduation,Marketing / Finance,Single,1,3,1,ClientSolutions,Conference,32,2329,3,3,19,Low,Met Expectations,Promoter,Passive,Promoter
AB0151,Male,32,Graduation,Economics,Married,3,27,8,ClientSolutions,No,13,21289,8,0,16,High,Met Expectations,Promoter,Promoter,Passive
AB0152,Male,30,Graduation,Marketing / Finance,Divorced,8,22,10,ClientSolutions,LongTermProject,61,13364,1,0,14,High,Met Expectations,Detractor,Passive,Passive
AB0153,Female,30,Graduation,Economics,Married,4,7,4,ClientSolutions,Conference,16,3360,1,0,15,Very High,Met Expectations,Passive,Promoter,Passive
AB0154,Male,40,Graduation,Marketing / Finance,Divorced,12,42,1,ClientSolutions,Conference,134,19066,7,5,22,High,Exceed Expectations,Promoter,Promoter,Passive
AB0155,Female,30,Graduation,Economics,Married,4,25,18,ClientSolutions,Conference,101,13228,13,10,18,Medium,Met Expectations,Detractor,Passive,Passive
AB0156,Male,40,Graduation,Phycology / Behavior Sciences,Single,10,34,7,ClientSolutions,Conference,153,12029,7,3,23,Medium,Exceed Expectations,Passive,Passive,Passive
AB0157,Female,54,Masters / PHD,Bio-technology,Married,3,18,1,BusinessDevelopment,Conference,23,4468,12,9,16,High,Met Expectations,Passive,Promoter,Detractor
AB0158,Male,31,Masters / PHD,Bio-technology,Single,1,13,9,BusinessDevelopment,Conference,33,6038,13,5,16,High,Met Expectations,Passive,Passive,Passive
AB0159,Male,26,Graduation,Marketing / Finance,Divorced,1,1,1,ClientSolutions,No,156,2233,1,1,15,Medium,Met Expectations,Passive,Passive,Passive
AB0160,Female,28,Graduation,Economics,Married,7,9,1,ClientSolutions,Conference,49,3640,7,5,18,Medium,Met Expectations,Promoter,Passive,Detractor
AB0161,Female,44,Masters / PHD,Bio-technology,Single,4,29,2,BusinessDevelopment,Conference,106,20759,3,3,15,High,Met Expectations,Passive,Detractor,Promoter
AB0162,Male,22,Graduation,Marketing / Finance,Single,9,10,2,ClientSolutions,LongTermProject,34,2838,0,0,14,Medium,Met Expectations,Passive,Detractor,Passive
AB0163,Female,18,Under Graduation,Economics,Married,1,10,18,Support,Conference,147,3255,10,9,22,High,Exceed Expectations,Detractor,Passive,Promoter
AB0164,Male,15,Under Graduation,Bio-technology,Single,1,4,20,BusinessDevelopment,Conference,146,3807,4,3,14,High,Met Expectations,Promoter,Passive,Passive
AB0165,Male,44,Masters / PHD,Bio-technology,Single,5,18,5,BusinessDevelopment,ClientEngagement,182,6350,12,8,21,High,Exceed Expectations,Detractor,Promoter,Passive
AB0166,Female,24,Graduation,Bio-technology,Single,1,3,10,BusinessDevelopment,Conference,52,3056,3,3,16,Low,Met Expectations,Passive,Passive,Promoter
AB0167,Male,24,Graduation,Economics,Single,10,13,1,ClientSolutions,LongTermProject,56,6921,4,3,15,Very High,Met Expectations,Promoter,Passive,Promoter
AB0168,Male,32,Under Graduation,Economics,Married,4,33,1,ClientSolutions,No,135,11792,30,20,22,Medium,Exceed Expectations,Passive,Passive,Promoter
AB0169,Male,30,Graduation,Marketing / Finance,Single,1,13,18,BusinessDevelopment,No,149,8395,13,0,16,High,Met Expectations,Detractor,Passive,Promoter
AB0170,Male,51,Masters / PHD,Marketing / Finance,Married,3,21,20,Support,Conference,60,11767,12,9,17,High,Met Expectations,Passive,Passive,Passive
AB0171,Female,22,Under Graduation,Economics,Married,1,5,1,ClientSolutions,LongTermProject,93,4574,5,4,15,High,Met Expectations,Passive,Detractor,Passive
